130;340.75;Doenças simuladas, provocadas, dissimuladas e imputadas
131;341.34;Domínio Público. Conceito. Domínio Eminente. Domínio Patrimonial
132;342.62;Duração do Trabalho
133;340.12;Epistemologia jurídica (crítica da ciência do direito, de suas limitações e erros e de seus métodos)
134;341.81;Espaço aéreo. Direito de sobrevoar
135;341.22;Estado e suas diversas formas
136;341.71;Estatuto Militar
137;343.43;Eucaristia
138;344.42;Extinção das obrigações
139;344.61;Família
140;343.09;Fases do desenvolvimento
141;343.62;Fases do processo canônico
142;344.79;Fideicomissos
143;344.63;Filiação. Entrada na família
144;340.19;Filosofia da história do direito 
145;343.04;Fontes do Direito Canônico
146;344.44;Garantias das obrigações
147;340.11;Gnoseologia jurídica (teoria do conhecimento do direito)
148;344.76;Herança jacente
149;344.77;Herança vacante
150;342.36;Homologação de sentença estrangeira
151;343.86;Igreja anglicana
152;343.92;Igreja bramanista. Igreja hinduísta
153;343.91;Igreja budista
154;343.85;Igreja búlgara
155;343.83;Igreja grega
156;343.94;Igreja islâmica
157;343.93;Igreja judaica
158;343.89;Igreja metodista
159;343.81;Igreja ortodoxa oriental
160;343.88;Igreja presbiteriana e Igreja reformada
161;343.82;Igreja russa
162;343.84;Igreja sérvia
163;343.95;Igreja xintoísta
164;343.87;Igrejas evangélicas
165;344.43;Inadimplemento das obrigações
166;341.53;Infrações ou atos puníveis em geral
167;342.23;Instituições comerciais. Mercado de capitais
168;343.24;Institutos especiais do Direito canônico
169;340.69;Jurisprudência administrativa
170;340.61;Jurisprudência civil
171;340.62;Jurisprudência comercial
172;340.63;Jurisprudência penal
173;340.64;Jurisprudência processual
174;340.65;Jurisprudência processual civil e comercial
175;340.66;Jurisprudência processual penal
176;340.68;Jurisprudência trabalhista
177;341.36;Justiça administrativa (Contencioso administrativo)
178;344.78;Legados
179;342.59;Legislação de Defesa do Consumidor. Código de defesa do consumidor (Subdividir por países 930-999)
180;342.69;Legislação do Trabalho
181;343.03;Lei canônica. Cânones
182;341.51;Lei penal em geral, sua aplicação e sua eficácia no tempo e no espaço
183;340.32;Leis. Direito positivo
184;340.13;Lógica jurídica (raciocínio jurídico)
185;343.36;Magistério eclesiástico
186;343.46;Matrimônio
187;344.62;Matrimônio
188;340.17;Metafísica jurídica (estudo do direito supra-legal, limite do poder)
189;342.13;Móveis
190;341.21;Nação, povo, território
191;341.82;Normas internacionais de direito aéreo. Convenções internacionais
192;342.14;Obrigações. Contratos. Convenções
193;340.16;Ontologia jurídica (estudo da essência do direito)
194;343.17;Ordens e Congregações Religiosas. Religiones
195;341.31;Organização Administrativa
196;341.11;Organização internacional
197;341.41;Organização Judiciária. Pessoal judiciário
198;342.53;Órgãos de Defesa do Consumidor. Promotorias de Justiça de Defesa do consumidor
199;340.34;Outras fontes de Direito além das leis. Direito usual. Direito consuetudinário
200;342.15;Outras fontes de obrigações além dos contratos. Obrigações legais. Quasecontratos. Quase-delitos. Atos ilícitos. Delitos considerados do ponto de vista civil
201;344.25;Outros direitos reais além da propriedade
202;343.11;Papa. Funções do Papa. Infalibilidade. Poder temporal
203;342.38;Parte especial
204;342.11;Parte geral
205;341.29;Partidos políticos
206;343.52;Penas canônicas
207;341.54;Penas. Penalidades em geral
208;343.44;Penitência
209;340.76;Perícias médico-legais
210;340.79;Peritos. Função do médico-legista
211;343.21;Pessoas do direito canônico
212;341.12;Pessoas e coisas do Direito Internacional. Relações internacionais
213;341.52;Pessoas imputáveis. Agentes das infrações
214;343.22;Pessoas morais (jurídicas)
215;341.37;Poder de Polícia (Faculdade da Administração Pública de condicionar o uso de bens e direitos individuais em benefício da coletividade)
216;341.25;Poderes do Estado
217;341.62;Previdência Social
218;341.76;Processo penal militar
219;340.92;Processos célebres
220;343.67;Processos especiais
221;344.23;Propriedade
222;340.73;Psicopatologia forense
223;342.54;Publicidade de produtos e serviços
224;344.51;Quase-contratos
225;344.53;Quase-delitos
226;340.78;Questões científicas e técnicas de caráter legal
227;340.74;Questões relativas à pessoa viva: idade, sexo, identidade etc
228;342.31;Questões teóricas
229;340.77;Química legal. Toxicologia químico-legal
230;342.34;Reconhecimento dos direitos adquiridos
231;343.66;Recursos. Apelação
232;344.66;Regime patrimonial da família
233;343.34;Rendas eclesiásticas
234;344.75;Repúdio da herança
235;342.52;Responsabilidade do fornecedor de produtos e serviços
236;341.86;Responsabilidade do transporte aéreo
237;343.42;Sacramentos que imprimem caráter
238;343.12;Sacro Colégio
239;341.64;Saúde
240;341.26;Segurança nacional
241;341.61;Seguridade Social
242;343.65;Sentenças. Execução
243;341.32;Serviços Públicos (Formas e meios de execução dos serviços públicos)
244;344.26;Servidões
245;340.71;Sexologia forense
246;342.32;Situação dos estrangeiros
247;341.23;Soberania. Estado e Governo
248;342.22;Sociedades comerciais
249;344.72;Sucessão ab intestato
250;344.71;Sucessão testamentária
251;344.11;Sujeito de direito. Capacidade jurídica
252;340.44;Terminologia jurídica
253;344.41;Transmissão das obrigações
254;341.85;Transporte aéreo
255;343.61;Tribunais eclesiásticos
256;344.64;Tutela
257;343.45;Unção dos enfermos (Extrema unção)
258;343.032;A lei canônica no espaço
259;343.031;A lei canônica no tempo. Cômputo e divisão do tempo
260;341.862;Abalroamento aéreo
261;342.257;Abertura de crédito
262;344.713;Abertura do testamento
263;342.233;Açambarcamento, trusts, monopólio
264;341.206;Ação de Descumprimento de Preceito Fundamental
265;344.634;Ad-rogação
266;341.317;Administração de Territórios. Administração Colonial
267;341.318;Administração do Distrito Federal
268;341.313;Administração Estadual
269;341.312;Administração Federal
270;341.316;Administração Municipal. Direito Municipal
271;341.399;Administração tributária
272;344.633;Adoção
273;341.415;Advogados. Foro
274;341.845;Aeronaves. Espécies de aeronaves
275;341.521;Agentes do delito em geral
276;341.178;Agentes equiparados aos agentes diplomáticos
277;342.217;Agentes, empregados comerciais
278;343.323;Altares e utensílios sagrados
279;342.254;Aluguel de trabalho
280;342.294;Aluguel do navio. Fretamento. Frete. Carta partida
281;341.593;Anatomia dos delinqüentes
282;344.113;Aquisição e perda de direitos
283;341.163;Arbitragem internacional. Justiça arbitral
284;341.235;Aristocracia. Oligarquia
285;342.267;Armazéns gerais. Entrepostos de mercadorias. Warrants. Conhecimento de depósito
286;341.599;Arqueologia criminal
287;343.162;Arquidioceses. Dioceses
288;342.287;Arquitetura. Monumentos públicos. Projetos
289;342.283;Artes gráficas em geral. Desenhos, gravuras, ilustrações, litografias
290;342.284;Artes plásticas. Esculturas
291;341.863;Assistência e salvamento
292;341.641;Assistência Médica
293;341.748;Assistência religiosa. Capelães militares
294;342.221;Associações comerciais
295;343.224;Associações leigas
296;342.642;Associações profissionais. Órgão de fiscalização profissional
297;341.351;Atos administrativos unilaterais
298;342.211;Atos de comércio
299;342.113;Atos e fatos jurídicos em geral
300;344.114;Atos e Fatos jurídicos em geral
301;344.115;Atos ilícitos
302;342.153;Atos ilícitos e danosos em particular. Delitos
303;341.239;Autoritarismo. Totalitarismo
304;342.296;Avarias
305;343.421;Batismo
306;343.673;Beatificação e canonização
307;341.621;Beneficiários
308;342.614;Beneficiários
309;343.328;Benefícios eclesiásticos
310;341.341;Bens Públicos
