Seq.;Área;Nivel1;Nivel2;Nivel3;Nivel4;Nivel5;Nivel6;CDD;Descrição;;
444;341;;;;;;;341.2518;Ministérios e secretariados de Estado. Gabinete. Conselho de ministros. Primeiro ministro;;
445;341;;;;;;;341.2519;Questões diversas (Organização do Palácio ou da Presidência. Casa, gabinete do chefe de Estado);;
446;341;;;;;;;341.252;Poder legislativo;;
447;341;;;;;;;341.2525;Conselho de Estado legislativo;;
448;341;;;;;;;341.2529;Delegação do poder legislativo. Plenos poderes pedidos pelo Governo ao Parlamento;;
18;341;;;;;;;341.253;Direito parlamentar. Parlamentos e assembléias;;
449;341;;;;;;;341.253;Direito parlamentar. Parlamentos e assembléias;;
450;341;;;;;;;341.2531;Câmara alta (Senado, Câmara dos Lords, Câmara dos pares, Bundesrath);;
451;341;;;;;;;341.2532;Câmara baixa (Câmara dos deputados, Câmara dos comuns, Estados gerais etc);;
452;341;;;;;;;341.2533;O Parlamento em seu conjunto;;
453;341;;;;;;;341.2534;Membros das Câmaras em geral;;
454;341;;;;;;;341.2535;Posse. Juramento;;
455;341;;;;;;;341.2536;Constituição interna e disciplina;;
456;341;;;;;;;341.2537;Processo dos trabalhos parlamentares;;
457;341;;;;;;;341.25373;Processo em matéria de leis de finanças. Votação do orçamento;;
458;341;;;;;;;341.25375;Votação por chamada nominal. Obrigação de voto pessoal. Quorum;;
459;341;;;;;;;341.25376;Conflitos parlamentares;;
460;341;;;;;;;341.25377;Inquéritos parlamentares;;
461;341;;;;;;;341.2538;Sessões parlamentares;;
462;341;;;;;;;341.25381;Convocação;;
463;341;;;;;;;341.25382;Data de abertura fixa ou variável;;
464;341;;;;;;;341.25383;Freqüência: anual, bienal etc;;
465;341;;;;;;;341.25384;Duração das sessões;;
466;341;;;;;;;341.25385;Férias;;
467;341;;;;;;;341.25386;Adiamento, prorrogação, dissolução;;
468;341;;;;;;;341.25388;Sessão extraordinária;;
469;341;;;;;;;341.254;Corpos no Estado (Classes, ordens, casta. Nobreza, clero, burguesia, camponeses, príncipes, grandes dignatários. Seus direitos corporativos);;
470;341;;;;;;;341.255;Poderes federais e regionais;;
471;341;;;;;;;341.2551;União;;
472;341;;;;;;;341.2552;Estados;;
473;341;;;;;;;341.2553;Municípios;;
474;341;;;;;;;341.256;Poder judiciário;;
475;341;;;;;;;341.2561;Interdição dos tribunais extraordinários;;
476;341;;;;;;;341.257;O povo. Direitos populares;;
477;341;;;;;;;341.2571;Intervenção do povo no governo geral;;
478;341;;;;;;;341.2572;Legislação direta pelo povo. Direito popular de iniciativa parlamentar;;
479;341;;;;;;;341.2573;Referendum;;
480;341;;;;;;;341.25731;Referendum ante legem;;
481;341;;;;;;;341.25732;Referendum post legem;;
482;341;;;;;;;341.25733;Plebiscito;;
483;341;;;;;;;341.258;Poder consultivo;;
484;341;;;;;;;341.259;Questões gerais diversas;;
485;341;;;;;;;341.2591;Conflitos de poderes;;
486;341;;;;;;;341.2597;Honrarias e prioridades;;
487;341;;;;;;;341.26;Segurança nacional;;
488;341;;;;;;;341.261;Conselho de segurança nacional;;
19;341;;;;;;;341.27;Direitos Fundamentais. Direitos primordiais;;
489;341;;;;;;;341.27;Direitos Fundamentais. Direitos primordiais. Garantias asseguradas aos cidadãos e associações. Direitos do homem. Liberdades fundamentais. Direitos políticos;;
490;341;;;;;;;341.271;Qualidade de cidadão;;
491;341;;;;;;;341.2711;Naturalização;;
492;341;;;;;;;341.2712;Nacionalidade originária. Estrangeiros;;
493;341;;;;;;;341.2713;Perda e reaquisição da qualidade de cidadão;;
494;341;;;;;;;341.2714;Abdicação de nacionalidade. Direitos supranacionais;;
495;341;;;;;;;341.2715;Cassação e suspensão de direitos políticos;;
496;341;;;;;;;341.272;Direitos da Pessoa Humana. O Estado e os indivíduos. Liberdades Públicas;;
497;341;;;;;;;341.2721;Liberdade individual. Escravidão. Servidão. Inviolabilidade da pessoa humana. Prisões arbitrárias;;
498;341;;;;;;;341.2722;Igualdade civil e política. Direitos, imunidades e privilégios de ordem civil e política em geral;;
499;341;;;;;;;341.2723;Direitos, imunidades e privilégios pessoais derivados da organização social;;
500;341;;;;;;;341.2724;Igualdade de raças e religiões;;
501;341;;;;;;;341.2725;Emprego dos idiomas. Idioma nacional oficial;;
502;341;;;;;;;341.2726;Direitos políticos da mulher;;
503;341;;;;;;;341.2727;Liberdade de pensamento e da palavra;;
504;341;;;;;;;341.2728;Liberdade ou direito de associação;;
505;341;;;;;;;341.2729;Liberdade de reunião. Manifestações públicas;;
506;341;;;;;;;341.2731;Liberdade de consciência e de culto;;
507;341;;;;;;;341.2732;Liberdade de imprensa. Lei de Imprensa. Liberdade de Expressão. Direito à Privacidade. Direito à Honra;;
508;341;;;;;;;341.2733;Liberdade de ensino e de estudo;;
509;341;;;;;;;341.2734;Liberdade do comércio, da indústria e do trabalho. Liberdade das profissões;;
510;341;;;;;;;341.27341;Intervenção no domínio econômico;;
511;341;;;;;;;341.2735;Liberdade de representação. Teatros etc;;
512;341;;;;;;;341.27351;Censura teatral, cinematográfica e assemelhadas;;
513;341;;;;;;;341.2736;Direito de recorrer à justiça. Inafastabilidade do Poder Judiciário;;
514;341;;;;;;;341.2737;Inviolabilidade do domicílio;;
515;341;;;;;;;341.2738;Sigilo da correspondência e das comunicações telegráficas, telefônicas e de dados;;
516;341;;;;;;;341.2739;Inviolabilidade da propriedade. Direito de propriedade;;
517;341;;;;;;;341.274;Garantias constitucionais dos direitos individuais;;
518;341;;;;;;;341.2741;Habeas corpus;;
519;341;;;;;;;341.2742;Mandado de segurança. Mandado de segurança coletivo;;
520;341;;;;;;;341.2743;Habeas Data;;
521;341;;;;;;;341.2744;Mandado de Injunção;;
522;341;;;;;;;341.276;Limitação e suspensão das garantias e liberdades constitucionais. Leis de exceção;;
523;341;;;;;;;341.277;Estado de sítio. Estado de emergência. Governo militar. Lei marcial;;
524;341;;;;;;;341.278;Estado de guerra;;
20;341;;;;;;;341.28;Direito eleitoral. Sistemas eleitorais;;
525;341;;;;;;;341.28;Direito eleitoral. Sistemas eleitorais;;
526;341;;;;;;;341.281;Condições e bases diversas do direito de voto. Elegibilidade e Inelegibilidade;;
527;341;;;;;;;341.2811;Idade;;
528;341;;;;;;;341.2812;Propriedade;;
529;341;;;;;;;341.2813;Instrução. Capacidade. Competência;;
530;341;;;;;;;341.2814;Nacionalidade. Raça. Religião;;
531;341;;;;;;;341.2815;Exclusão e suspensão do direito de voto;;
532;341;;;;;;;341.2816;Domicílio. Residência;;
533;341;;;;;;;341.2819;Outras condições;;
534;341;;;;;;;341.282;Formas e sistemas diversos do direito de sufrágio;;
535;341;;;;;;;341.2821;Sufrágio universal, igual e direto;;
536;341;;;;;;;341.2822;Sistema capacitário;;
537;341;;;;;;;341.2823;Sistema baseado na fortuna: propriedade, ocupação etc;;
538;341;;;;;;;341.2824;Voto plural. Sufrágio familiar;;
539;341;;;;;;;341.2825;Voto por classes;;
540;341;;;;;;;341.2826;Representação dos interesses. Voto por agrupamentos econômicos e funcionais;;
541;341;;;;;;;341.2827;Representação das minorias. Representação proporcional. Voto proporcional. Voto distrital. Maioria absoluta ou relativa. Quorum. Reversibilidade dos sufrágios;;
542;341;;;;;;;341.2828;Circunscrições eleitorais;;
543;341;;;;;;;341.2829;Outros sistemas eleitorais;;
544;341;;;;;;;341.283;Voto das mulheres;;
545;341;;;;;;;341.284;Questões especiais relativas às operações eleitorais;;
546;341;;;;;;;341.2841;Crimes Eleitorais e respectivos processos;;
547;341;;;;;;;341.2842;Justiça eleitoral. Recursos;;
548;341;;;;;;;341.2843;O escrutínio;;
549;341;;;;;;;341.28431;Escolha dos candidatos. Declaração e apresentação das candidaturas;;
550;341;;;;;;;341.28433;Voto secreto. Escrutínio aberto;;
551;341;;;;;;;341.28434;Controle das operações;;
552;341;;;;;;;341.28435;Processos de votação. Máquinas de votar;;
553;341;;;;;;;341.28436;Votação de desempate;;
554;341;;;;;;;341.2844;Obrigação ou faculdade de votar;;
555;341;;;;;;;341.2845;Alistamento eleitoral. Título de eleitor;;
556;341;;;;;;;341.2846;Reunião dos colégios eleitorais. Convocação. Formação das bancas eleitorais;;
557;341;;;;;;;341.2847;Contagem de votos. Proclamação do escrutínio;;
558;341;;;;;;;341.2849;Outras questões;;
559;341;;;;;;;341.28491;Lugar da votação. Voto duplo;;
560;341;;;;;;;341.28492;Campanhas eleitorais: privilégios, franquias etc;;
561;341;;;;;;;341.28493;Limitação e publicidade das despesas eleitorais;;
562;341;;;;;;;341.29;Partidos políticos;;
21;341;;;;;;;341.3;DIREITO ADMINISTRATIVO;;
563;341;;;;;;;341.3;DIREITO ADMINISTRATIVO;;
564;341;;;;;;;341.301;Conceito. Teoria;;
565;341;;;;;;;341.3011;Fontes;;
566;341;;;;;;;341.3012;Responsabilidade civil da administração;;
567;341;;;;;;;341.30121;Teorias;;
568;341;;;;;;;341.30122;Responsabilidade subjetiva. Culpa;;
569;341;;;;;;;341.30123;Responsabilidade objetiva;;
570;341;;;;;;;341.30124;Direito de regresso;;
571;341;;;;;;;341.31;Organização Administrativa;;
572;341;;;;;;;341.311;Centralização, descentralização;;
573;341;;;;;;;341.312;Administração Federal;;
574;341;;;;;;;341.3121;Chefes de Estado;;
575;341;;;;;;;341.3122;Ministérios. Secretarias de Estado;;
576;341;;;;;;;341.313;Administração Estadual;;
577;341;;;;;;;341.3131;Governadores;;
578;341;;;;;;;341.3132;Secretarias Estaduais;;
579;341;;;;;;;341.316;Administração Municipal. Direito Municipal;;
580;341;;;;;;;341.317;Administração de Territórios. Administração Colonial;;
581;341;;;;;;;341.318;Administração do Distrito Federal;;
582;341;;;;;;;341.32;Serviços Públicos (Formas e meios de execução dos serviços públicos);;
583;341;;;;;;;341.321;Execução Direta. Órgãos da Administração direta;;
584;341;;;;;;;341.3215;Órgãos de deliberação coletiva. Órgãos colegiados. Conselhos. Comissões. Comitês;;
585;341;;;;;;;341.322;Execução Indireta. Órgãos da Administração indireta;;
586;341;;;;;;;341.3221;Agências Reguladoras;;
587;341;;;;;;;341.3222;Fundações. Fundações de Direito Público. Fundações de Direito Privado;;
588;341;;;;;;;341.3225;Autarquias;;
589;341;;;;;;;341.32251;Econômicas;;
590;341;;;;;;;341.32252;Industriais;;
591;341;;;;;;;341.32253;Creditícias;;
592;341;;;;;;;341.32254;Previdenciárias e de Assistência Social;;
593;341;;;;;;;341.32255;Fiscalizadoras de Atividades Profissionais. Conselhos Profissionais;;
594;341;;;;;;;341.32256;Educacionais;;
595;341;;;;;;;341.3226;Entidades Paraestatais;;
596;341;;;;;;;341.32261;Sociedades de economia mista;;
597;341;;;;;;;341.32262;Empresas públicas;;
598;341;;;;;;;341.32264;Outras entidades paraestatais;;
599;341;;;;;;;341.3227;Entidades privadas patrocinadas pelo Poder Público;;
600;341;;;;;;;341.32271;Organizações Sociais;;
601;341;;;;;;;341.32272;Serviço Social Autônomo;;
602;341;;;;;;;341.33;Agentes da Administração. Servidores Públicos em Geral. Funcionários Públicos;;
603;341;;;;;;;341.331;Natureza jurídica da relação de emprego público;;
604;341;;;;;;;341.3311;Funcionários estatutários;;
605;341;;;;;;;341.3312;Extranumerários;;
606;341;;;;;;;341.3313;Servidores regidos pela legislação trabalhista;;
607;341;;;;;;;341.3314;Pessoal eventual. Pessoal temporário;;
608;341;;;;;;;341.332;Legislação de pessoal. Estatuto dos funcionários;;
609;341;;;;;;;341.333;Investidura nas funções públicas. Forma de escolha dos candidatos. Provimento. Condições para o acesso às funções públicas. Nacionalidade, idade, sexo, nível de escolaridade, condições de saúde etc;;
610;341;;;;;;;341.33311;Livre escolha;;
611;341;;;;;;;341.33312;Concursos. Provas de seleção. Provas de títulos. Estágios. Estágio probatório;;
612;341;;;;;;;341.3332;Nomeação. Designação. Contrato;;
613;341;;;;;;;341.3333;Posse. Formalidades. Entrada em exercício;;
614;341;;;;;;;341.3334;Acumulação de cargos ou funções. Proibições. Casos permitidos;;
615;341;;;;;;;341.334;Promoções. Critérios;;
616;341;;;;;;;341.3341;Merecimento;;
617;341;;;;;;;341.3342;Antigüidade. Tempo de serviço;;
618;341;;;;;;;341.3343;Interstício. Tempo de intervalo legal entre cada promoção do mesmo servidor;;
619;341;;;;;;;341.3344;Acesso. Provas de acesso. Provas para promoção;;
620;341;;;;;;;341.3345;Promoção horizontal;;
621;341;;;;;;;341.335;Vencimentos. Remuneração. Subsídios. Vantagens pessoais. Outras vantagens pecuniárias;;
622;341;;;;;;;341.3351;Paridade de vencimentos. Princípio da isonomia;;
623;341;;;;;;;341.3352;Diárias;;
624;341;;;;;;;341.3353;Ajuda de custo;;
625;341;;;;;;;341.3354;Gratificações. Gratificação de Produtividade;;
626;341;;;;;;;341.3355;Descontos em Folha. Descontos Previdenciários;;
627;341;;;;;;;341.336;Deveres e obrigações dos servidores;;
628;341;;;;;;;341.3361;Ética. Segredo profissional;;
629;341;;;;;;;341.3362;Código de Conduta da Alta Administração Federal;;
630;341;;;;;;;341.337;Penalidades;;
631;341;;;;;;;341.3371;Repreensão;;
632;341;;;;;;;341.3372;Multa;;
633;341;;;;;;;341.3373;Suspensão;;
634;341;;;;;;;341.3374;Destituição de função;;
635;341;;;;;;;341.3375;Demissão;;
636;341;;;;;;;341.3376;Cassação de aposentadoria ou disponibilidade;;
637;341;;;;;;;341.338;Direitos e vantagens;;
638;341;;;;;;;341.3381;Estabilidade;;
639;341;;;;;;;341.3382;Férias;;
640;341;;;;;;;341.3384;Licenças;;
641;341;;;;;;;341.3385;Aposentadoria;;
642;341;;;;;;;341.3386;Outros Direitos;;
643;341;;;;;;;341.339;Movimentação de servidores;;
644;341;;;;;;;341.3391;Transferência;;
645;341;;;;;;;341.3392;Requisições. Cessões. Exercício temporário;;
646;341;;;;;;;341.3393;Remoções;;
647;341;;;;;;;341.3394;Serviços fora da sede. Viagens a serviço no País;;
648;341;;;;;;;341.3395;Serviços no exterior;;
649;341;;;;;;;341.3396;Afastamentos temporários do País;;
650;341;;;;;;;341.34;Domínio Público. Conceito. Domínio Eminente. Domínio Patrimonial;;
651;341;;;;;;;341.341.;Bens Públicos;;
652;341;;;;;;;341.3411;Bens de uso comum (uti universi);;
653;341;;;;;;;341.3412;Bens de uso especial (bens administrativos);;
654;341;;;;;;;341.3413;Bens dominiais. Bens Patrimoniais da União, dos Estados e dos Municípios;;
655;341;;;;;;;341.342;Terras Públicas. Lei das Terras;;
656;341;;;;;;;341.3425;Terrenos de marinha;;
657;341;;;;;;;341.3426;Ilhas;;
658;341;;;;;;;341.3427;Faixa de fronteira;;
659;341;;;;;;;341.343;Direito das águas. Águas públicas;;
660;341;;;;;;;341.3431;Águas internas;;
661;341;;;;;;;341.3432;Águas externas;;
662;341;;;;;;;341.34321;Mar territorial. Plataforma continental;;
663;341;;;;;;;341.344;Jazidas. Código de Minas;;
664;341;;;;;;;341.3442;Petróleo. Monopólio;;
665;341;;;;;;;341.34422;Contratos de risco;;
666;341;;;;;;;341.3443;Minérios nucleares. Energia atômica. Monopólio;;
667;341;;;;;;;341.3444;Potenciais de energia hidráulica. Energia elétrica;;
668;341;;;;;;;341.345;Indígenas. Estatuto do índio. Colonos nas colônias;;
669;341;;;;;;;341.3451;Terra indígena. Demarcação;;
22;341;;;;;;;341.347;Direito Ambiental;;
670;341;;;;;;;341.347;Direito Ambiental;;
671;341;;;;;;;341.3471;Normas constitucionais sobre meio ambiente;;
672;341;;;;;;;341.3472;Sistema e política do meio ambiente;;
673;341;;;;;;;341.3473;Responsabilidade civil por dano ambiental;;
674;341;;;;;;;341.3474;Crimes ambientais e respectivo processo;;
675;341;;;;;;;341.3475;Flora. Florestas. Códigos florestais;;
676;341;;;;;;;341.3476;Fauna. Códigos de Caça e Pesca;;
677;341;;;;;;;341.3477;Preservação do meio ambiente. Normas antipoluição;;
678;341;;;;;;;341.3478;Engenharia genética e meio ambiente;;
679;341;;;;;;;341.34781;Patrimônio Genético;;
680;341;;;;;;;341.34782;Diversidade Biológica;;
23;341;;;;;;;341.3479;Direito ambiental internacional;;
681;341;;;;;;;341.3479;Direito ambiental internacional;;
682;341;;;;;;;341.348;Espaço aéreo;;
683;341;;;;;;;341.349;Patrimônio Histórico e Artístico Nacional;;
684;341;;;;;;;341.3491;Conceito;;
685;341;;;;;;;341.3492;Tombamento. Livros de Tombo;;
686;341;;;;;;;341.3493;Bens imóveis;;
687;341;;;;;;;341.3494;Bens móveis de valor histórico e artístico. Controle das vendas e saídas do País;;
688;341;;;;;;;341.35;Atos administrativos;;
689;341;;;;;;;341.3501;Conceito. Elementos e Características;;
690;341;;;;;;;341.35014;Competência da autoridade;;
691;341;;;;;;;341.350141;Delegação de competência;;
692;341;;;;;;;341.350142;Convênios. Programas;;
693;341;;;;;;;341.351;Atos administrativos unilaterais;;
694;341;;;;;;;341.3511;Atos normativos e ordinativos (Decretos, regulamentos, regimentos, portarias, ordens de serviço, instruções, circulares, decisões, despachos etc.);;
695;341;;;;;;;341.3512;Atos de comunicação (Avisos, ofícios, memorandos etc);;
696;341;;;;;;;341.3513;Atos declaratórios (Certidões, atestados, declarações, apostilas etc);;
697;341;;;;;;;341.35131;Concessão de condecorações e distinções honoríficas;;
698;341;;;;;;;341.3514;Atos punitivos (Multas, interdição de atividade etc);;
699;341;;;;;;;341.3515;Revogação dos atos administrativos;;
700;341;;;;;;;341.3516;Anulação dos atos administrativos;;
701;341;;;;;;;341.35161;Anulação pela própria administração;;
702;341;;;;;;;341.3517;Controle judicial dos atos administrativos;;
703;341;;;;;;;341.352;Contratos administrativos;;
704;341;;;;;;;341.35201;Teoria. Conceito;;
705;341;;;;;;;341.3521;Formalidades. Condições de validade;;
706;341;;;;;;;341.35211;Competência da autoridade;;
707;341;;;;;;;341.3522;Execução e inexecução dos contratos administrativos;;
708;341;;;;;;;341.3523;Rescisão dos contratos administrativos;;
709;341;;;;;;;341.3524;Alteração dos contratos administrativos;;
710;341;;;;;;;341.3525;Prorrogação dos contratos administrativos;;
711;341;;;;;;;341.3526;Contratos de obras públicas;;
712;341;;;;;;;341.3527;Licitações em geral;;
713;341;;;;;;;341.35271;Concorrência pública;;
714;341;;;;;;;341.35272;Concorrência administrativa;;
715;341;;;;;;;341.35273;Tomada de preços;;
716;341;;;;;;;341.35274;Cartas-convite;;
717;341;;;;;;;341.35275;Adjudicação;;
718;341;;;;;;;341.35276;Pregão;;
719;341;;;;;;;341.353;Concessão, permissão, autorização de serviço público;;
720;341;;;;;;;341.354;Contratos de fornecimento;;
721;341;;;;;;;341.355;Contratos de serviços especializados;;
722;341;;;;;;;341.356;Contrato de gestão;;
723;341;;;;;;;341.36;Justiça administrativa (Contencioso administrativo);;
724;341;;;;;;;341.361;Responsabilidade;;
725;341;;;;;;;341.362;Processo administrativo;;
726;341;;;;;;;341.3622;Recursos administrativos;;
727;341;;;;;;;341.363;Prisão administrativa;;
728;341;;;;;;;341.364;Tribunais administrativos;;
729;341;;;;;;;341.37;Poder de Polícia (Faculdade da Administração Pública de condicionar o uso de bens e direitos individuais em benefício da coletividade);;
730;341;;;;;;;341.371;Licenças de funcionamento. Alvarás. Permissão de serviços;;
731;341;;;;;;;341.372;Polícia de costumes;;
732;341;;;;;;;341.3721;Controle de jogos, rifas, quermesses, sorteios etc;;
733;341;;;;;;;341.3722;Fiscalização de espetáculos teatrais e cinematográficos, rádio e televisão;;
734;341;;;;;;;341.3723;Censura;;
735;341;;;;;;;341.373;Polícia sanitária;;
736;341;;;;;;;341.3731;Inspeção de alimentos;;
737;341;;;;;;;341.3732;Medidas contra poluição;;
738;341;;;;;;;341.3733;Controle de plantas e animais nocivos;;
739;341;;;;;;;341.3734;Regulamentação de cemitérios;;
740;341;;;;;;;341.374;Regulamentação de Construções. Gabaritos. Direito urbano;;
741;341;;;;;;;341.375;Regulamentação e fiscalização de pesos e medidas;;
742;341;;;;;;;341.376;Regulamentação do Tráfego e Trânsito. Código de Trânsito;;
743;341;;;;;;;341.377;Limitações à propriedade;;
744;341;;;;;;;341.3771;Requisições militares;;
745;341;;;;;;;341.3772;Desapropriações por utilidade pública;;
24;341;;;;;;;341.378;Direito Econômico;;
746;341;;;;;;;341.378;Direito Econômico;;
747;341;;;;;;;341.3781;Normas constitucionais sobre Direito Econômico;;
748;341;;;;;;;341.3782;Intervenção no domínio econômico;;
749;341;;;;;;;341.3783;Monopólio;;
750;341;;;;;;;341.3784;Empresas estatais exploradoras de atividade econômica;;
751;341;;;;;;;341.3785;Estatização. Privatização;;
752;341;;;;;;;341.3786;Abuso do poder econômico. Instrumentos estatais de prevenção e repressão;;
753;341;;;;;;;341.3787;Concorrência. Açambarcamento. Trust. Monopólio;;
754;341;;;;;;;341.3788;Conselho Administrativo de Defesa Econômica (CADE);;
25;341;;;;;;;341.38;Direito Financeiro;;
755;341;;;;;;;341.38;Direito Financeiro;;
756;341;;;;;;;341.381;Receita Pública;;
757;341;;;;;;;341.3811;Avaliação da Receita;;
758;341;;;;;;;341.3812;Receita Ordinária;;
759;341;;;;;;;341.3813;Receita Extraordinária;;
760;341;;;;;;;341.3814;Receitas correntes;;
761;341;;;;;;;341.3815;Receitas de capital;;
762;341;;;;;;;341.382;Despesa Pública;;
763;341;;;;;;;341.3821;Despesas correntes;;
764;341;;;;;;;341.3822;Despesas de capital;;
765;341;;;;;;;341.383;Orçamento;;
766;341;;;;;;;341.3831;Orçamento da União;;
767;341;;;;;;;341.3832;Orçamento dos Estados;;
768;341;;;;;;;341.3833;Orçamento dos Municípios;;
769;341;;;;;;;341.3834;Elaboração Orçamentária. Proposta orçamentária;;
770;341;;;;;;;341.3836;Fiscalização financeira e orçamentária;;
771;341;;;;;;;341.385;Tribunais de Contas;;
772;341;;;;;;;341.3851;Tribunais de Contas da União;;
773;341;;;;;;;341.3852;Tribunais de Contas dos Estados;;
774;341;;;;;;;341.3853;Tribunais de Contas dos Municípios;;
775;341;;;;;;;341.386;Crédito Público;;
776;341;;;;;;;341.3861;Dívida interna;;
777;341;;;;;;;341.38611;Empréstimo compulsório;;
778;341;;;;;;;341.3862;Dívida externa;;
779;341;;;;;;;341.387;Responsabilidade Fiscal. Lei de Responsabilidade Fiscal;;
780;341;;;;;;;341.3871;Despesas com pessoal;;
781;341;;;;;;;341.3872;Despesas com previdências;;
26;341;;;;;;;341.39;Direito tributário;;
782;341;;;;;;;341.39;Direito Tributário;;
783;341;;;;;;;341.391;Teoria. Fundamentos;;
784;341;;;;;;;341.39101;Fontes;;
785;341;;;;;;;341.39102;Vigência da legislação tributária;;
786;341;;;;;;;341.39103;Bitributação;;
787;341;;;;;;;341.39104;Incentivos fiscais;;
788;341;;;;;;;341.392;Obrigação Tributária;;
789;341;;;;;;;341.3921;Obrigação principal e obrigações acessórias;;
790;341;;;;;;;341.3922;Fato gerador;;
791;341;;;;;;;341.393;Competência tributária;;
792;341;;;;;;;341.3931;Limitações constitucionais;;
793;341;;;;;;;341.3932;Indelegabilidade da competência tributária;;
794;341;;;;;;;341.3933;Sujeito ativo;;
795;341;;;;;;;341.39331;Competência tributária da União;;
796;341;;;;;;;341.39332;Competência tributária dos Estados;;
797;341;;;;;;;341.39333;Competência tributária dos Municípios;;
798;341;;;;;;;341.3934;Sujeito passivo;;
799;341;;;;;;;341.39341;Responsabilidade tributária;;
800;341;;;;;;;341.39342;Solidariedade;;
801;341;;;;;;;341.39343;Domicílio tributário;;
802;341;;;;;;;341.394;Crédito tributário;;
803;341;;;;;;;341.3941;Conceito;;
804;341;;;;;;;341.3942;Lançamento;;
805;341;;;;;;;341.3943;Suspensão;;
806;341;;;;;;;341.3944;Extinção do crédito tributário;;
807;341;;;;;;;341.39441;Pagamento;;
808;341;;;;;;;341.39442;Transação;;
809;341;;;;;;;341.39443;Remissão;;
810;341;;;;;;;341.39444;Decadência;;
811;341;;;;;;;341.39445;Prescrição;;
812;341;;;;;;;341.3945;Exclusão do crédito tributário;;
813;341;;;;;;;341.39451;Não incidência;;
814;341;;;;;;;341.39452;Imunidade;;
815;341;;;;;;;341.39453;Isenção;;
816;341;;;;;;;341.39454;Moratória;;
817;341;;;;;;;341.39455;Anistia fiscal;;
818;341;;;;;;;341.39456;Parcelamento;;
819;341;;;;;;;341.3946;Restituição de tributos;;
820;341;;;;;;;341.395;Ilícito tributário;;
821;341;;;;;;;341.3951;Sonegação;;
822;341;;;;;;;341.3952;Conluio;;
823;341;;;;;;;341.3953;Evasão;;
824;341;;;;;;;341.3954;Descaminho;;
825;341;;;;;;;341.3955;Contrabando;;
826;341;;;;;;;341.3956;Penalidades em matéria tributária (multas, perda de mercadorias etc.);;
827;341;;;;;;;341.3957;Correção monetária e juros dos débitos fiscais. Taxa SELIC;;
828;341;;;;;;;341.3958;Processo fiscal administrativo;;
829;341;;;;;;;341.3959;Consulta e seus efeitos;;
830;341;;;;;;;341.396;Impostos;;
831;341;;;;;;;341.3961;Impostos sobre comércio exterior;;
832;341;;;;;;;341.39611;Imposto de Importação;;
833;341;;;;;;;341.396116;Tarifas aduaneiras;;
834;341;;;;;;;341.396117;Regimes aduaneiros especiais;;
835;341;;;;;;;341.3961171;Armazéns alfandegários;;
836;341;;;;;;;341.3961172;Entrepostos aduaneiros. Free-shops;;
837;341;;;;;;;341.3961173;Admissão temporária;;
838;341;;;;;;;341.3961174;Bagagem;;
839;341;;;;;;;341.3961175;Draw-back;;
840;341;;;;;;;341.3961176;Zonas francas;;
841;341;;;;;;;341.39612;Imposto de Exportação;;
842;341;;;;;;;341.3962;Impostos sobre o patrimônio e a renda;;
843;341;;;;;;;341.39621;Imposto de renda;;
844;341;;;;;;;341.396216;Pessoa Física;;
845;341;;;;;;;341.396217;Pessoa Jurídica;;
846;341;;;;;;;341.39621742;Lançamento do Imposto de renda de pessoa jurídica;;
847;341;;;;;;;341.396218;Recolhimento na Fonte;;
848;341;;;;;;;341.39622;Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU);;
849;341;;;;;;;341.39623;Imposto sobre a Propriedade Territorial Rural (ITR);;
850;341;;;;;;;341.39624;Imposto(de transmissão);;
851;341;;;;;;;341.396246;Transmissão inter vivos;;
852;341;;;;;;;341.396247;Transmissão causa mortis;;
853;341;;;;;;;341.39625;Imposto sobre a Propriedade de Veículos Automotores (IPVA);;
854;341;;;;;;;341.3963;Impostos sobre a produção e a circulação;;
855;341;;;;;;;341.39631;Imposto sobre Produtos Industrializados (IPI). Imposto de consumo;;
856;341;;;;;;;341.39632;Imposto sobre a Circulação de Mercadorias (ICM). Imposto sobre a Circulação de Mercadorias e Serviços (ICMS). Imposto sobre vendas e consignações;;
857;341;;;;;;;341.39633;Imposto sobre Operações Financeiras (IOF). Imposto do selo. Imposto sobre Movimentações Financeiras;;
858;341;;;;;;;341.39634;Imposto sobre serviços de transporte e comunicações;;
859;341;;;;;;;341.39635;Imposto sobre serviços;;
860;341;;;;;;;341.3964;Impostos especiais. Impostos únicos;;
861;341;;;;;;;341.39641;Imposto único sobre combustíveis e lubrificantes;;
862;341;;;;;;;341.39642;Imposto único sobre energia elétrica;;
863;341;;;;;;;341.39643;Imposto único sobre minerais;;
864;341;;;;;;;341.3965;Impostos extraordinários. Impostos de guerra. Empréstimo compulsório;;
865;341;;;;;;;341.397;Outras espécies de tributos;;
866;341;;;;;;;341.3971;Taxas;;
867;341;;;;;;;341.3972;Contribuição de melhoria;;
868;341;;;;;;;341.3973;Contribuições de Intervenção no Domínio Econômico;;
869;341;;;;;;;341.3974;Contribuições Sociais;;
870;341;;;;;;;341.39741;Contribuição sobre o Faturamento. FINSOCIAL. COFINS. PIS;;
871;341;;;;;;;341.39742;Contribuição social Sobre o Lucro (CSSL);;
872;341;;;;;;;341.39743;Contribuição Provisória sobre Movimentações Financeiras (CPMF);;
