Seq.;Área;Nivel1;Nivel2;Nivel3;Nivel4;Nivel5;Nivel6;CDD;Descrição;;
155;341;;;;;;;341.11319;Organização das Nações Unidas para o Desenvolvimento Industrial (UNIDO);;
156;341;;;;;;;341.11321;Agência Internacional de Energia Atômica (AIEA);;
157;341;;;;;;;341.11322;Organização da Aviação Internacional (OACI);;
158;341;;;;;;;341.11323;União Postal Universal (UPU);;
159;341;;;;;;;341.11324;União Internacional de Telecomunicações (UIT);;
160;341;;;;;;;341.11325;Organização Meteorológica Mundial (OMM);;
161;341;;;;;;;341.11326;Organização Consultiva Marítima Internacional (OCMI);;
162;341;;;;;;;341.11327;Acordo Geral sobre Tarifas e Comércio (GATT). Organização Mundial do Comércio (OMC);;
163;341;;;;;;;341.11328;Alto Comissariado das Nações Unidas para Refugiados (ACNUR);;
164;341;;;;;;;341.1133;Programas e Fundos das Nações Unidas;;
165;341;;;;;;;341.11331;Fundos das Nações Unidas para a Infância (UNICEF);;
166;341;;;;;;;341.11332;Conferência das Nações Unidas sobre o Comércio e Desenvolvimento (UNCTAD);;
167;341;;;;;;;341.11333;Programa das Nações Unidas para o Desenvolvimento (PNUD);;
168;341;;;;;;;341.11334;Outros Programas e Fundos das Nações Unidas;;
169;341;;;;;;;341.114;Organizações Internacionais Regionais-América;;
170;341;;;;;;;341.1141;Organização dos Estados Americanos (OEA);;
171;341;;;;;;;341.114101;Assembléia Geral;;
172;341;;;;;;;341.114102;Reunião de consulta dos Ministros das Relações Exteriores;;
173;341;;;;;;;341.114103;Conselhos;;
174;341;;;;;;;341.114104;Comissão Jurídica Interamericana;;
175;341;;;;;;;341.114105;Comissão Interamericana de Direitos Humanos;;
176;341;;;;;;;341.114106;Secretaria Geral;;
177;341;;;;;;;341.114107;Conferências Especializadas;;
178;341;;;;;;;341.114108;Organismos Especializados;;
179;341;;;;;;;341.1142;Comissão Econômica para a América Latina (CEPAL);;
180;341;;;;;;;341.1143;Associação Latino-Americana de Livre Comércio (ALALC). Associação Latino-Americana de Integração (ALADI);;
181;341;;;;;;;341.1144;Banco Interamericano de Desenvolvimento (BID);;
182;341;;;;;;;341.1145;Sociedade Interamericana de Imprensa (SIP);;
183;341;;;;;;;341.1146;Acordo de Livre Comércio da América do Norte (NAFTA);;
